rank,gene_id,f_immGA,f_matGA,matSP_holdfast,matSP_sorus,matSP_stipe,4wSP,earlySP,matSP_meristem,matSP_vegfrond
1,nbis-gene-7714,12.392498,16.417709000000002,7.621485,37.572031,10.742431,6.900321,0,10.8409325,5.284947
1,nbis-gene-7715,66.16108,87.188701,38.188487,59.720205,42.750151,66.962903,205.45567549999998,45.8025385,33.578575
1,nbis-gene-7716,154.016386,211.0037705,119.089991,155.387266,130.106116,164.234854,353.5129285,129.7916055,138.063167
1,nbis-gene-7717,15.04941,27.003042,1.372111,3.125038,0.696683,15.121791,0.858737,1.9835224999999999,1.556912
9,nbis-gene-772,25.606450000000002,31.9684445,179.928896,30.568891,70.023284,22.908153,0,41.722484,66.039604
1,nbis-gene-7720,2.4143555,2.5079255,3.028577,11.64744,4.558405,2.766597,0,5.136734,6.75148
1,nbis-gene-7722,1.1490555,0.5311794999999999,7.56404,3.777967,14.974723,2.052231,0,7.1983175,12.801922
7,nbis-gene-7725,25.298083,35.7280015,12.851636,19.313821,10.798413,16.566742,0,9.590667999999999,11.96006
1,nbis-gene-7728,26.809140499999998,30.956785000000004,55.492799,52.873614,65.60722,26.574376,0,52.671749,58.421905
9,nbis-gene-773,45.4403255,57.3840585,5.167196,58.989986,7.162347,48.224853,0,4.8528545,3.645262
4,nbis-gene-7730,2.7652099999999997,3.8108185,7.793855,9.068593,6.000246,15.113631,0,5.930878,9.367945
1,nbis-gene-7732,9.5984415,6.0048675,49.135625,27.311486,28.685781,9.438547,0,22.493492500000002,21.55804
1,nbis-gene-7733,6.149702,6.0186035,13.491642,14.205255,50.839476,6.710385,0,5.628005,19.960639
1,nbis-gene-7735,1.0122995,0,0,0.829724,0,0,0,3.354908,0
7,nbis-gene-7736,16.016221,18.660993,21.845702,51.931283,10.896832,22.378443,0,20.258688,19.109725
1,nbis-gene-7737,62.833896,68.5276825,0,0,0,0,0,0,0
7,nbis-gene-774,9.15706,11.5359345,2.407373,10.391158,2.791858,18.182935,0,8.0260665,2.574971
7,nbis-gene-7741,8.7721915,7.644723000000001,9.219569,24.956583,5.972706,12.920627,0,9.7406535,13.398049
5,nbis-gene-7744,5.938374,3.690301,0.749015,6.722133,3.930578,0.848492,0,0.552079,0.42405
1,nbis-gene-7745,25.53528,33.3911775,33.914345,111.05224,75.588575,90.251721,0,154.396928,78.910838
5,nbis-gene-7750,6.542260499999999,8.715878,4.732723,2.801579,3.265062,19.999125,0,2.930559,2.787589
1,nbis-gene-7752,17.248096,11.566259500000001,41.089653,29.541998,29.05666,41.833377,0,35.501587,14.806087
1,nbis-gene-7753,14.8379995,11.3973935,3.361368,9.59065,8.983559,21.833509,0,11.207858,16.705821
1,nbis-gene-7756,6.9467745,8.637463499999999,1.463689,1.472208,5.257595,9.976197,0,2.2928495,0
1,nbis-gene-7757,18.702026,20.565195,26.186093,27.220877,22.118926,22.282898,0,24.999650000000003,13.497129
1,nbis-gene-7758,11.6627005,20.0469575,8.676658,7.704342,5.642575,10.717272,0,7.9440585,2.787589
8,nbis-gene-776,6.7587975,8.1094495,16.887946,15.016645,10.918688,9.122442,0,10.1444355,14.603742
1,nbis-gene-7762,4.7833985000000006,3.8913195,9.336026,9.643746,12.925256,4.366331,0,5.4528765,1.160293
7,nbis-gene-7764,5.567807500000001,3.533414,7.996222,6.637979,4.997428,7.577327,0,2.0537954999999997,5.342138
7,nbis-gene-7766,29.491318,44.2827335,39.478056,53.658231,33.729613,38.92443,0,30.538442500000002,32.247455
7,nbis-gene-777,23.4313295,26.584099000000002,22.220195,17.142337,27.167574,26.748922,0.043508,23.849967,13.731435
7,nbis-gene-7772,39.969754,36.9002795,10.334392,26.056888,10.61353,6.222562,0,10.2036675,4.87346
