rank,gene_id,f_immGA,f_matGA,matSP_holdfast,matSP_meristem,matSP_stipe,matSP_vegfrond,matSP_frond_sorus,matSP_sporophyll_sorus
2,nbis-gene-17550,1.559984,2.018918,0.579531,2.741333,2.173719,2.330204,7.296393,8.231523
1,nbis-gene-17551,140.2240465,206.540659,0,0,0,0,2.100949,0
5,nbis-gene-17552,193.9179975,2.188384,20.4876825,29.046248,14.545094,25.799781,53.843553,60.239459
1,nbis-gene-17553,2.336449,2.511612,10.6274205,5.997746,5.139329,1.826097,8.036207,3.235556
1,nbis-gene-17555,153.82635249999998,0,9.0587105,11.370959,5.941658,5.733773,9.488915,7.431206
7,nbis-gene-17556,10.204825,0,154.769169,25.959644,21.658089,9.46763,21.379939,19.140325
1,nbis-gene-17558,1.1148065,1.453814,0.79589,3.924222,2.805116,4.201833,8.734602,7.538363
1,nbis-gene-17559,0.8025215,0,2.6548395,8.608956,11.462842,13.079997,6.901118,6.552816
7,nbis-gene-1756,13.839157,0,2.0714975,21.237999,15.949551,2.939569,19.440635,24.928272
2,nbis-gene-17560,0.2358545,0.077463,0.67258,2.047625,1.343367,2.614234,7.667686,7.903904
1,nbis-gene-17561,125.8174875,417.201745,81.5062895,108.252581,102.526192,139.707739,121.458448,116.78046
1,nbis-gene-17562,17.852274,105.018723,18.799201,11.693102,17.503425,10.73251,8.919372,11.205964
7,nbis-gene-17563,3.7184785000000002,24.380205,10.4896515,12.631776,12.420781,4.615342,9.483883,13.228199
7,nbis-gene-17564,4.873888,0,4.6687655,118.963338,107.316179,39.391097,57.982902,69.329299
7,nbis-gene-17565,7.670227499999999,0,11.722448499999999,61.067309,69.131226,70.582842,184.257508,175.317338
7,nbis-gene-17566,24.002959,0,5.6747785,94.465209,149.054431,140.633799,78.547958,65.057566
2,nbis-gene-17567,3.1946785,22.165248,17.2834075,6.870855,3.705364,8.111484,50.587972,56.434581
1,nbis-gene-17568,0.3298035,0.885819,7.548992,37.184795,25.619714,88.093815,60.758839,44.479926
8,nbis-gene-1757,13.448419,0,0,1.663906,0,3.259338,0,0
7,nbis-gene-17570,10.985738,0,10.893433,5.033337,15.688778,1.398337,26.921819,22.199416
1,nbis-gene-17571,0.1687155,0,4.3407219999999995,2.906077,1.921488,1.054994,29.422784,48.109049
1,nbis-gene-17572,0.13073,1.120364,1.033227,1.465629,0.636899,0.418769,11.34485,16.09818
1,nbis-gene-17573,92.1411155,0.419931,14.954995499999999,42.518744,14.330523,16.484935,48.016281,49.872406
2,nbis-gene-17574,4.330451500000001,1.682477,104.745348,146.442589,183.807923,79.705681,54.366463,98.782797
7,nbis-gene-17575,35.003381,0,0.196312,0.262526,0,0.249612,193.998152,156.970287
7,nbis-gene-17576,3.349545,2.385735,30.478924499999998,16.681361,16.124297,24.349417,35.837815,39.100697
7,nbis-gene-17577,7.300558,37.522304,51.036117000000004,23.024382,28.369725,46.538154,48.631672,54.504608
1,nbis-gene-17578,2.1091715,0.637682,2.2424505,5.32618,2.67148,4.565822,6.885513,6.251848
1,nbis-gene-17579,134.22751699999998,7.744354,4.3185155,5.442641,4.8951,5.704914,5.371782,0
1,nbis-gene-17580,4.0427965,0.29883,23.8820765,26.211827,26.553775,34.598868,20.877876,16.090143
7,nbis-gene-17581,0,0,0,0,0,0,7.987665,12.295846
1,nbis-gene-17583,58.343199999999996,247.582801,4.5119325,3.369415,3.678007,4.52024,14.013113,15.546228
1,nbis-gene-17584,4.445339499999999,0,8.208768,19.372385,29.448035,2.880955,8.875732,8.240444
1,nbis-gene-17585,6.6799665,10.690675,2.376314,7.980795,12.3571,9.034501,14.524281,16.052038
7,nbis-gene-17586,0.2421255,0,10.065335000000001,12.213462,7.073893,8.875687,4.696863,9.704918
5,nbis-gene-17587,0.547113,0,3.583077,20.480944,16.599547,29.699055,33.599407,33.258961
