PS,GeneID,S1,S2,S3,S4,S4.5,S5
1,dis_TRINITY_DN24185_c0_g4,183.981187,224.596553,225.0859165,215.317838,213.9061985,184.51995
1,dis_TRINITY_DN24240_c0_g1,457.295363,389.015308,428.0835435,441.469223,464.010935,319.996554
2,dis_TRINITY_DN24301_c0_g5,225.531413,268.604281,239.9028485,225.925941,281.113656,257.403846
1,dis_TRINITY_DN24354_c0_g1,130.103377,130.083221,130.016404,130,130,130
1,dis_TRINITY_DN2436_c0_g1,130.172642,130,130.0363345,130.061153,130,130
8,dis_TRINITY_DN2438_c0_g2,157.144201,166.507418,183.208054,174.4235,182.6127965,187.13998
1,dis_TRINITY_DN24397_c2_g3,407.887142,265.990391,281.2702355,267.44805199999996,257.9058195,318.489982
1,dis_TRINITY_DN24397_c2_g4,229.531059,293.689929,234.927208,239.217935,238.5079915,237.510354
7,dis_TRINITY_DN24403_c0_g2,203.104822,174.373407,190.522356,399.688629,480.04174,219.253422
8,dis_TRINITY_DN2442_c0_g1,247.59173,218.39172,250.246308,327.154907,277.28184,229.965581
1,dis_TRINITY_DN2449_c0_g3,278.582997,410.908408,288.754281,350.122909,339.45896749999997,239.349148
2,dis_TRINITY_DN24499_c0_g1,2019.655189,2106.59994,3232.850955,3953.585898,6202.7410215,4721.608607
2,dis_TRINITY_DN24499_c0_g2,131.939902,131.390957,130.5296715,145.16824,142.88855999999998,279.690004
1,dis_TRINITY_DN245_c0_g1,292.66144399999996,213.551567,205.502334,195.288565,179.117587,224.334058
6,dis_TRINITY_DN2450_c0_g3,171.472657,165.764232,188.7486805,208.012857,198.285806,192.451254
8,dis_TRINITY_DN2452_c0_g1,224.367163,206.950888,207.6497175,252.346952,253.6419855,211.767866
7,dis_TRINITY_DN24553_c0_g2,248.171661,238.3713,271.6438,315.03834800000004,420.996354,399.096646
1,dis_TRINITY_DN24555_c0_g1,412.655333,220.096666,181.411396,166.061016,162.18130000000002,160.240865
6,dis_TRINITY_DN2465_c0_g2,258.98817199999996,200.388336,192.468969,180.759866,166.273311,166.750715
1,dis_TRINITY_DN2466_c0_g1,247.474975,206.023211,191.3985315,361.753243,340.069688,225.576356
4,dis_TRINITY_DN24694_c0_g1,173.76099399999998,183.16402,191.4124035,235.539953,206.387151,173.105251
8,dis_TRINITY_DN24729_c0_g1,206.096216,231.154368,187.834556,196.091815,196.2601395,181.351552
8,dis_TRINITY_DN24751_c0_g2,338.579502,336.29717600000004,396.0851125,309.508442,235.748854,271.892042
1,dis_TRINITY_DN24803_c0_g1,235.909174,239.931515,221.192501,275.170984,349.327953,295.239867
8,dis_TRINITY_DN24998_c0_g1,196.621918,213.882803,213.5244315,221.027525,224.1304945,210.241766
1,dis_TRINITY_DN25012_c0_g2,130,130,130.1646695,151.234507,149.6192745,394.823644
5,dis_TRINITY_DN25060_c0_g7,1396.314355,1338.74707,1217.2247945,1372.793292,1238.8368735,1516.949296
8,dis_TRINITY_DN2513_c0_g2,151.007709,162.134091,142.45307100000002,145.684772,147.8562015,227.155824
8,dis_TRINITY_DN2513_c0_g4,158.491117,172.87329,165.6086785,168.428531,205.484631,147.422061
1,dis_TRINITY_DN25163_c0_g1,188.64042,222.810275,192.845012,198.369642,198.026222,192.35085
1,dis_TRINITY_DN2524_c0_g1,140.984057,147.489753,160.638578,153.399889,148.67044449999997,153.853798
2,dis_TRINITY_DN2525_c1_g1,221.089284,224.383259,202.758792,219.700861,237.3471055,218.712462
1,dis_TRINITY_DN253_c0_g1,420.361236,252.972675,258.3518065,234.435516,200.0196115,213.159519
1,dis_TRINITY_DN2531_c0_g1,205.394752,168.759326,164.653595,167.43616,154.93938250000002,158.859673
8,dis_TRINITY_DN25315_c0_g1,133.865362,151.011119,182.871762,168.74047000000002,136.3523075,240.130467
8,dis_TRINITY_DN25316_c0_g1,146.240016,133.728286,155.31282199999998,144.452959,144.8751825,172.258631
8,dis_TRINITY_DN25338_c0_g1,157.39085,168.609849,304.0595795,244.507512,225.906843,214.344713
8,dis_TRINITY_DN25351_c0_g1,248.717698,233.78976,233.54484,201.670324,184.4893995,196.58051
1,dis_TRINITY_DN25358_c0_g1,337.489412,285.463804,340.277138,313.559346,286.39268100000004,251.890217
1,dis_TRINITY_DN25366_c0_g1,602.319981,1281.533315,939.007984,956.115361,1352.043271,906.920436
1,dis_TRINITY_DN25368_c0_g2,175.958908,167.424499,155.6127945,168.440377,172.76169349999998,195.630358
8,dis_TRINITY_DN25375_c1_g1,260.076216,310.286986,196.442182,240.579827,237.896576,201.229838
3,dis_TRINITY_DN25382_c0_g1,150.764586,136.16482,130.121424,130,130.046708,130
8,dis_TRINITY_DN25404_c0_g1,130.913498,130,130.52180950000002,130,130,130
8,dis_TRINITY_DN25415_c0_g1,362.54566,344.64746,267.400302,221.430497,210.813141,213.308701
1,dis_TRINITY_DN25444_c0_g1,182.505788,207.497434,185.3281135,195.524493,213.7857555,190.041285
1,dis_TRINITY_DN25505_c0_g1,410.393135,397.68176,594.606892,498.671192,424.9563105,468.965162
6,dis_TRINITY_DN25611_c0_g1,292.13867300000004,248.550926,243.328142,275.805386,233.6833485,195.126968
1,dis_TRINITY_DN25611_c0_g2,217.642699,222.456385,207.5158785,210.072768,178.29458599999998,201.198055
2,dis_TRINITY_DN25624_c0_g1,215.322972,236.883779,193.6698785,191.541966,183.327339,170.999406
2,dis_TRINITY_DN25641_c0_g1,224.779945,224.252182,163.383445,165.773991,170.951712,157.465213
8,dis_TRINITY_DN2569_c0_g1,276.064888,181.350557,157.99685,183.979322,160.37983250000002,144.524275
1,dis_TRINITY_DN2570_c0_g2,195.14167,263.09366,212.638522,273.689508,235.551282,181.959457
2,dis_TRINITY_DN25725_c0_g1,215.707066,275.780007,377.4606455,615.053319,601.438294,444.495066
