PS,GeneID,S1,S2,S3,S4,S4.5,S5,gamete_female,gamete_male,holdfast,reptip,stipe,vegtip
5,dis_TRINITY_DN9346_c0_g1,10.582597,14.084185,16.4307265,14.040514,6.865888999999999,10.536899,5.244583,0.852243,9.064136,7.196165,6.817374,3.587631
8,dis_TRINITY_DN9347_c0_g1,12.862934,10.825047,12.5581385,12.578553,12.446503,13.099455,9.676521,1.767608,8.952885,12.558355,11.689088,12.375535
1,dis_TRINITY_DN9347_c0_g2,43.823933,68.659197,54.3813665,42.355809,37.387085,34.318644,54.179528,26.316082,5.738018,20.852735,5.463265,20.560183
2,dis_TRINITY_DN9361_c0_g1,8.468398,7.705311,9.823624,15.812231,11.7106875,9.729901,48.207349,10.873466,10.182157,22.065103,12.19771,13.21604
1,dis_TRINITY_DN9362_c0_g1,30.757155,8.652089,11.4939765,9.933734,8.57115,5.817134,22.023189,3.73066,6.189244,11.382145,3.810455,6.493928
8,dis_TRINITY_DN9367_c0_g1,8.237313,12.670398,14.6464285,10.047534,10.306383,8.574935,8.26147,1.603712,7.315349,11.339705,6.447574,5.103042
8,dis_TRINITY_DN937_c0_g1,189.781511,187.307799,161.1602945,159.129601,212.0909365,131.339863,112.953137,117.621567,183.860366,139.804278,117.5536,123.283186
1,dis_TRINITY_DN9371_c0_g1,174.253851,239.974014,232.1774075,195.190593,119.39406,138.28852,267.191216,22.716878,150.855693,203.684425,127.601747,128.59275
1,dis_TRINITY_DN9374_c0_g1,0.606675,0.190385,0.016994,0,0,0,0.073495,166.710588,0,5.866341,0,0
8,dis_TRINITY_DN9374_c0_g3,26.026756,15.158219,14.332742,15.514637,13.3078015,11.354994,27.530562,113.963258,19.821862,24.609117,14.870822,12.877216
1,dis_TRINITY_DN9379_c0_g5,115.240755,115.737445,92.0522255,121.252302,99.150565,82.81358,70.953945,14.552015,81.709185,93.148772,76.341084,73.837297
1,dis_TRINITY_DN9381_c0_g2,17.414661,31.396422,21.452971,24.264759,25.2087245,15.521325,9.005595,5.82929,2.686486,14.496198,3.415155,14.708385
